Nº doc.,Texto,Oc,CeBe,Proveedor / Usuario,Solicitante OC,Importe en ML,Lib.mayor,Cuenta Contable,Cuenta SV,Mes,Periodo,Año Academico,CeCo
1900008640,1186608/L03111138,,5692101001,AMEX,,110,7115030002,Hospedaje, Gastos de Viaje,Septiembre,SEM 1,2025,UF_5692101001 - Vive Preparatoria
1900008640,1187946/L01209924,,5692101002,AMEX,,55,7115030002,Hospedaje, Gastos de Viaje,Septiembre,SEM 1,2025,UF_5692101002 - Vive Profesional
1900008640,1188649/L01209924,,5692101002,AMEX,,54,7115030002,Hospedaje, Gastos de Viaje,Septiembre,SEM 1,2025,UF_5692101002 - Vive Profesional
1900008640,1188651/L01209924,,5692101002,AMEX,,54,7115030002,Hospedaje, Gastos de Viaje,Septiembre,SEM 1,2025,UF_5692101002 - Vive Profesional
1900008640,1188659/L01209924,,5692101002,AMEX,,54,7115030002,Hospedaje, Gastos de Viaje,Septiembre,SEM 1,2025,UF_5692101002 - Vive Profesional
1900008640,1188661/L01209924,,5692101002,AMEX,,54,7115030002,Hospedaje, Gastos de Viaje,Septiembre,SEM 1,2025,UF_5692101002 - Vive Profesional
1900008553,1189127/0,,5695101000,AMEX,,108,7115030002,Hospedaje, Gastos de Viaje,Agosto,SEM 1,2025,UF_5695101000 - Atraccion Prepa
1900008553,1189132/0,,5695101000,AMEX,,54,7115030002,Hospedaje, Gastos de Viaje,Agosto,SEM 1,2025,UF_5695101000 - Atraccion Prepa
1900008553,1189137/0,,5695101000,AMEX,,108,7115030002,Hospedaje, Gastos de Viaje,Agosto,SEM 1,2025,UF_5695101000 - Atraccion Prepa
1900008553,1189142/0,,5695102000,AMEX,,108,7115030002,Hospedaje, Gastos de Viaje,Agosto,SEM 1,2025,UF_5695102000 - Atraccion Prof
100144385,2 Campus Intern en Agosto,,5695102000,2 Campus Intern en Agosto,,2200,7111030001,Servicios, Servicios,Agosto,SEM 1,2025,UF_5695102000 - Atraccion Prof
1900008525,6000016828 PAGO DE AGUA Y DRENAJE DEL MES DE AGOST,,5694899000,SIMAS TORREON MATAMOROS,,15265,7110013001,Agua y drenaje, Servicios Publicos,Agosto,SEM 1,2025,UF_5694899000 - Dir Planta Fisica
5000024569,ABATELENGUADEMADERA,935725,5692108000,AGUSTIN SANDOVAL GARCIA (0001067007),KARLA ELENA ROBLES JUÁREZ,59,7115101006,Artículos y gastos médicos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5692108000 - TecmiMed Center
5000024575,AGUAINYECTABLE,935725,5692108000,AGUSTIN SANDOVAL GARCIA (0001067007),KARLA ELENA ROBLES JUÁREZ,383,7115101006,Artículos y gastos médicos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5692108000 - TecmiMed Center
5000024560,AGUAOXIGENADA,935725,5692108000,AGUSTIN SANDOVAL GARCIA (0001067007),KARLA ELENA ROBLES JUÁREZ,43,7115101006,Artículos y gastos médicos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5692108000 - TecmiMed Center
,Ajustes AYF,,5694999000,Ajustes AYF,,2050,, Servicios, Servicios,Agosto,SEM 1,2025,UF_5694999000 - Operacion Institucional TI
,Ajustes AYF,,5694999000,Ajustes AYF,,26999,, Software, Software,Agosto,SEM 1,2025,UF_5694999000 - Operacion Institucional TI
5000024576,ALCOHOLETILICO,935725,5692108000,AGUSTIN SANDOVAL GARCIA (0001067007),KARLA ELENA ROBLES JUÁREZ,270,7115101010,Material de laboratorio, Gastos de Operacion,Agosto,SEM 1,2025,UF_5692108000 - TecmiMed Center
100139415,Alumnos Connect MA25 mes 3,,5690108002,Alumnos Connect MA25 mes 3,,143250,7118010001,Transferencia Egresos entre Segmentos, Gastos por Transferencias,Agosto,SEM 1,2025,UF_5690108002 - Alumnos Connect
100143231,Alumnos Connect MA25 mes 3,,5690108002,Alumnos Connect MA25 mes 3,,143250,7118010001,Transferencia Egresos entre Segmentos, Gastos por Transferencias,Agosto,SEM 1,2025,UF_5690108002 - Alumnos Connect
100144383,Alumnos Connect MA25 mes 3,,5690108002,Alumnos Connect MA25 mes 3,,-143250,7118010001,Transferencia Egresos entre Segmentos, Gastos por Transferencias,Agosto,SEM 1,2025,UF_5690108002 - Alumnos Connect
100137756,Alumnos Online Cuenta a Campus MA25 MES 3,,5690108001,Alumnos Online Cuenta a Campus MA25 MES 3,,94500,7118010001,Transferencia Egresos entre Segmentos, Gastos por Transferencias,Agosto,SEM 1,2025,UF_5690108001 - Alumnos OnLine
5000024566,AMBROXOL,935725,5692108000,AGUSTIN SANDOVAL GARCIA (0001067007),KARLA ELENA ROBLES JUÁREZ,190,7115101006,Artículos y gastos médicos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5692108000 - TecmiMed Center
100147573,Amort OC-827939 Linkedin,,5690104000,GASTOS DE TI,,2289,7111040002,Servicios de Consultoría, Servicios,Agosto,SEM 1,2025,UF_5690104000 - Profesional
100155303,Amort OC-827939 Linkedin,,5690104000,GASTOS DE TI,,2289,7111040002,Servicios de Consultoría, Servicios,Septiembre,SEM 1,2025,UF_5690104000 - Profesional
100147573,Amort OC-827939 Linkedin,,5690105000,GASTOS DE TI,,208,7111040002,Servicios de Consultoría, Servicios,Agosto,SEM 1,2025,UF_5690105000 - Maestria
100155303,Amort OC-827939 Linkedin,,5690105000,GASTOS DE TI,,208,7111040002,Servicios de Consultoría, Servicios,Septiembre,SEM 1,2025,UF_5690105000 - Maestria
100147573,Amort OC-827939 Linkedin,,5690110000,GASTOS DE TI,,416,7111040002,Servicios de Consultoría, Servicios,Agosto,SEM 1,2025,UF_5690110000 - Ejecutivo
100155303,Amort OC-827939 Linkedin,,5690110000,GASTOS DE TI,,416,7111040002,Servicios de Consultoría, Servicios,Septiembre,SEM 1,2025,UF_5690110000 - Ejecutivo
100142598,Amortización OC-941903 Linkedin,,5690104000,GASTOS DE TI,,-17419,7111040002,Servicios de Consultoría, Servicios,Agosto,SEM 1,2025,UF_5690104000 - Profesional
100142598,Amortización OC-941903 Linkedin,,5690105000,GASTOS DE TI,,-939,7111040002,Servicios de Consultoría, Servicios,Agosto,SEM 1,2025,UF_5690105000 - Maestria
100142598,Amortización OC-941903 Linkedin,,5690110000,GASTOS DE TI,,-671,7111040002,Servicios de Consultoría, Servicios,Agosto,SEM 1,2025,UF_5690110000 - Ejecutivo
5700014109,ANA IXCHEL CORREA SILVA,,5695103000,CONCUR/AMEX,,2025,7108010007,Publicidad de Internet, Publicidad,Septiembre,SEM 1,2025,UF_5695103000 - Atraccion Maestria
5700014360,ANA IXCHEL CORREA SILVA,,5695103000,CONCUR/AMEX,,1800,7108010007,Publicidad de Internet, Publicidad,Septiembre,SEM 1,2025,UF_5695103000 - Atraccion Maestria
5700013919,ANA IXCHEL CORREA SILVA,,5695103000,CONCUR/AMEX,,5350,7115020001,"Inscripciones, cuotas y membresías", Gastos de Operacion,Septiembre,SEM 1,2025,UF_5695103000 - Atraccion Maestria
5700012976,ANA IXCHEL CORREA SILVA,,5695103000,CONCUR/AMEX,,1855,7115070011,Gastos operativos, Gastos de Operacion,Agosto,SEM 1,2025,UF_5695103000 - Atraccion Maestria
5700014109,ANA IXCHEL CORREA SILVA,,5695104000,CONCUR/AMEX,,2025,7108010007,Publicidad de Internet, Publicidad,Septiembre,SEM 1,2025,UF_5695104000 - Atraccion Ejecutivo
5700014360,ANA IXCHEL CORREA SILVA,,5695104000,CONCUR/AMEX,,1800,7108010007,Publicidad de Internet, Publicidad,Septiembre,SEM 1,2025,UF_5695104000 - Atraccion Ejecutivo
5700013919,ANA IXCHEL CORREA SILVA,,5695104000,CONCUR/AMEX,,5350,7115020001,"Inscripciones, cuotas y membresías", Gastos de Operacion,Septiembre,SEM 1,2025,UF_5695104000 - Atraccion Ejecutivo
5700013942,ANA IXCHEL CORREA SILVA,,5695104000,CONCUR/AMEX,,120,7115030001,Transportación, Gastos de Viaje,Septiembre,SEM 1,2025,UF_5695104000 - Atraccion Ejecutivo
