Escenario,Mes 1,Mes,LS,CeCo,Concepto 1,Concepto,Monto
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690103000 - Preparatoria,ER_7001 - Servicios,Servicios,16072.98
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690103000 - Preparatoria,ER_7002 - Gastos de Operacion,Gastos de Operacion,25979.23
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690103000 - Preparatoria,ER_7004 - Software,Software,1789.23
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690103000 - Preparatoria,ER_7005 - Publicidad,Publicidad,29459.78
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690103000 - Preparatoria,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,3571.9
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690103000 - Preparatoria,ER_7012 - IVA,IVA,14385.57
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690103000 - Preparatoria,ER_7015 - Materiales,Materiales,12953.61
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7001 - Servicios,Servicios,166343.96
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7002 - Gastos de Operacion,Gastos de Operacion,21897.17
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7005 - Publicidad,Publicidad,6270
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,11309.33
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7012 - IVA,IVA,33733.88
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690104000 - Profesional,ER_7015 - Materiales,Materiales,14746.44
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7001 - Servicios,Servicios,7.84
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7002 - Gastos de Operacion,Gastos de Operacion,27687.98
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7005 - Publicidad,Publicidad,828.49
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,5494.45
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7012 - IVA,IVA,5007.91
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690105000 - Maestria,ER_7015 - Materiales,Materiales,2926.77
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690108000 - Alumnos Mixtos,ER_7013 - Gastos por Transferencias,Gastos por Transferencias,7254.23
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690108001 - Alumnos OnLine,ER_7013 - Gastos por Transferencias,Gastos por Transferencias,99855.41
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690108002 - Alumnos Connect,ER_7013 - Gastos por Transferencias,Gastos por Transferencias,139199.45
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7002 - Gastos de Operacion,Gastos de Operacion,9934.15
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7003 - Gastos de Viaje,Gastos de Viaje,4798.29
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7005 - Publicidad,Publicidad,1132.22
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,103.92
Plan Operativo,Ago Acd AJ,Ago,LS_01 - Ensenanza,UF_5690110000 - Ejecutivo,ER_7012 - IVA,IVA,2900.35
Plan Operativo,Ago Acd AJ,Ago,LS_13 - Arrendamientos,UF_5691301000 - Arrendamientos,ER_7001 - Servicios,Servicios,25000
Plan Operativo,Ago Acd AJ,Ago,LS_13 - Arrendamientos,UF_5691301000 - Arrendamientos,ER_7012 - IVA,IVA,3750
Plan Operativo,Ago Acd AJ,Ago,LS_20 - Apoyo academico,UF_5692003000 - Administracion Academica,ER_7002 - Gastos de Operacion,Gastos de Operacion,29343.3
Plan Operativo,Ago Acd AJ,Ago,LS_20 - Apoyo academico,UF_5692003000 - Administracion Academica,ER_7010 - Irrecuperabilidad,Irrecuperabilidad,20434.54
Plan Operativo,Ago Acd AJ,Ago,LS_20 - Apoyo academico,UF_5692003000 - Administracion Academica,ER_7012 - IVA,IVA,4426.2
Plan Operativo,Ago Acd AJ,Ago,LS_20 - Apoyo academico,UF_5692003000 - Administracion Academica,ER_7015 - Materiales,Materiales,7374.02
Plan Operativo,Ago Acd AJ,Ago,LS_20 - Apoyo academico,UF_5692003001 - Graduaciones,ER_7002 - Gastos de Operacion,Gastos de Operacion,1618.68
Plan Operativo,Ago Acd AJ,Ago,LS_20 - Apoyo academico,UF_5692003001 - Graduaciones,ER_7012 - IVA,IVA,242.8
Plan Operativo,Ago Acd AJ,Ago,LS_20 - Apoyo academico,UF_5692007000 - Biblioteca,ER_7012 - IVA,IVA,459.9
Plan Operativo,Ago Acd AJ,Ago,LS_20 - Apoyo academico,UF_5692007000 - Biblioteca,ER_7016 - Bibliografia,Bibliografia,39059.46
Plan Operativo,Ago Acd AJ,Ago,LS_20 - Apoyo academico,UF_5692099000 - Dir General Campus,ER_7001 - Servicios,Servicios,5917.76
Plan Operativo,Ago Acd AJ,Ago,LS_20 - Apoyo academico,UF_5692099000 - Dir General Campus,ER_7002 - Gastos de Operacion,Gastos de Operacion,16536.67
Plan Operativo,Ago Acd AJ,Ago,LS_20 - Apoyo academico,UF_5692099000 - Dir General Campus,ER_7003 - Gastos de Viaje,Gastos de Viaje,1466.02
Plan Operativo,Ago Acd AJ,Ago,LS_20 - Apoyo academico,UF_5692099000 - Dir General Campus,ER_7005 - Publicidad,Publicidad,6270
Plan Operativo,Ago Acd AJ,Ago,LS_20 - Apoyo academico,UF_5692099000 - Dir General Campus,ER_7008 - Comunicaciones,Comunicaciones,1005.52
Plan Operativo,Ago Acd AJ,Ago,LS_20 - Apoyo academico,UF_5692099000 - Dir General Campus,ER_7012 - IVA,IVA,5260.2
Plan Operativo,Ago Acd AJ,Ago,LS_21 - Asuntos estudiantiles,UF_5692101001 - Vive Preparatoria,ER_7002 - Gastos de Operacion,Gastos de Operacion,8716.81
Plan Operativo,Ago Acd AJ,Ago,LS_21 - Asuntos estudiantiles,UF_5692101001 - Vive Preparatoria,ER_7012 - IVA,IVA,1432.77
